TRANSACTION_NBR,EMPLID,EMPL_RCD,BGN_DT,PIN_TAKE_NUM,END_DT,SEQNUM,OPRID,EMPLID_CURR_APPR,ACTION_DT,HR_WF_ACTION,HGA_APPR_PRCS
76,K0W107,0,11/29/2006,2343,11/30/2006,2,HAM_K0W107,K0W107,9/19/2006,SUB,REQ
76,K0W107,0,11/29/2006,2343,11/30/2006,3,HAM_K0W106,K0W106,9/19/2006,DNY,REQ
77,K0W107,0,2/13/2007,2342,2/13/2007,3,HAM_K0W106,K0W106,9/19/2006,PSH,REQ
78,K0W107,0,3/6/2007,2342,3/6/2007,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
78,K0W107,0,3/6/2007,2342,3/6/2007,2,HAM_K0W107,K0W107,9/19/2006,SUB,REQ
65,K0W203,0,12/26/2006,2392,12/28/2006,1,HAM_K0W203,K0W203,8/29/2006,SAV,REQ
65,K0W203,0,12/26/2006,2392,12/28/2006,2,HAM_K0W203,K0W203,9/19/2006,SUB,REQ
65,K0W203,0,12/26/2006,2392,12/28/2006,3,HAM_K0W201,K0W201,9/19/2006,APV,REQ
66,K0W203,0,1/26/2007,2344,1/26/2007,1,HAM_K0W203,K0W203,8/29/2006,SAV,REQ
66,K0W203,0,1/26/2007,2344,1/26/2007,2,HAM_K0W203,K0W203,9/19/2006,SUB,REQ
67,K0W203,0,11/29/2006,2343,11/30/2006,1,HAM_K0W203,K0W203,8/29/2006,SAV,REQ
67,K0W203,0,11/29/2006,2343,11/30/2006,2,HAM_K0W203,K0W203,9/19/2006,SUB,REQ
67,K0W203,0,11/29/2006,2343,11/30/2006,3,HAM_K0W201,K0W201,9/19/2006,DNY,REQ
68,K0W007,0,12/26/2006,2392,12/28/2006,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
14,K0W003,0,9/5/2005,2392,9/5/2005,3,BGONZALES,K0W003,9/21/2004,SUB,REQ
78,K0W107,0,3/6/2007,2342,3/6/2007,3,HAM_K0W106,K0W106,9/19/2006,APV,REQ
78,K0W107,0,3/6/2007,2342,3/6/2007,4,HAM_K0W101,K0W101,9/19/2006,APV,REQ
79,K0W107,0,4/24/2007,2342,4/24/2007,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
79,K0W107,0,4/24/2007,2342,4/24/2007,2,HAM_K0W107,K0W107,9/19/2006,SUB,REQ
79,K0W107,0,4/24/2007,2342,4/24/2007,3,HAM_K0W106,K0W106,9/19/2006,APV,REQ
79,K0W107,0,4/24/2007,2342,4/24/2007,4,HAM_K0W101,K0W101,9/19/2006,DNY,REQ
80,K0W207,0,12/26/2006,2392,12/28/2006,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
80,K0W207,0,12/26/2006,2392,12/28/2006,2,HAM_K0W207,K0W207,9/19/2006,SUB,REQ
80,K0W207,0,12/26/2006,2392,12/28/2006,3,HAM_K0W206,K0W206,9/19/2006,APV,REQ
81,K0W207,0,1/26/2007,2344,1/26/2007,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
81,K0W207,0,1/26/2007,2344,1/26/2007,2,HAM_K0W207,K0W207,9/19/2006,SUB,REQ
82,K0W207,0,11/29/2006,2343,11/30/2006,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
82,K0W207,0,11/29/2006,2343,11/30/2006,2,HAM_K0W207,K0W207,9/19/2006,SUB,REQ
428,K0W202,1,4/3/2013,2392,4/9/2013,1,HAM_K0W202,K0W202,8/21/2012,SUB,REQ
429,K0W203,0,8/27/2012,2343,8/28/2012,1,HAM_K0W203,K0W203,8/21/2012,SUB,REQ
279,KU0076,0,10/17/2011,2392,10/18/2011,1,SAMPLE,KU0007,6/8/2012,SAV,REQ
279,KU0076,0,10/17/2011,2392,10/18/2011,2,SAMPLE,KU0007,6/8/2012,SAV,REQ
280,KU0059,0,9/5/2011,2392,9/5/2011,1,SAMPLE,KU0007,6/8/2012,SAV,REQ
315,KNG001,0,2/27/2012,161022,3/4/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
292,KNG001,0,8/22/2011,161022,9/2/2011,2,SAMPLE,KU0007,7/17/2012,SAV,REQ
316,KNG003,0,2/6/2012,161050,2/9/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
317,KNG003,0,2/13/2012,161050,2/14/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
318,KNG005,0,3/5/2012,161036,3/9/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
319,K0G004,0,4/4/2012,2343,4/6/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
320,K0G005,0,4/14/2012,2343,4/14/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
321,K0G005,0,5/4/2012,2343,5/17/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
322,K0W131,0,3/3/2012,2343,3/3/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
323,K0W131,0,4/4/2012,2343,4/4/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
324,K0W133,0,3/3/2012,2343,3/13/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
325,K0W133,0,4/4/2012,2343,4/6/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
326,K0W134,0,3/19/2012,2343,3/22/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
327,K0W134,0,4/17/2012,2343,4/26/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
328,K0W135,0,4/20/2012,2343,4/24/2012,1,SAMPLE,KU0007,7/17/2012,SAV,REQ
286,KNG003,0,7/4/2011,161022,7/8/2011,1,SAMPLE, ,6/18/2012,SAV,REQ
287,KNG003,0,8/29/2011,161050,8/29/2011,1,SAMPLE, ,6/18/2012,SAV,REQ
292,KNG001,0,8/22/2011,161022,9/2/2011,1,SAMPLE, ,6/18/2012,SAV,REQ
426,K0W201,0,3/3/2012,2343,3/6/2012,1,HAM_K0W201,K0W201,8/21/2012,SUB,REQ
281,KU0020,0,10/10/2011,2392,10/10/2011,1,SAMPLE,KU0007,6/8/2012,SAV,REQ
282,KU0039,0,9/13/2011,2392,9/13/2011,1,SAMPLE,KU0007,6/8/2012,SAV,REQ
430,K0W203,0,8/30/2012,2392,8/31/2012,1,HAM_K0W203,K0W203,8/21/2012,SUB,REQ
431,K0W204,0,8/23/2012,2392,8/23/2012,1,HAM_K0W204,K0W204,8/21/2012,SUB,REQ
393,K0W004,0,8/21/2012,2343,8/23/2012,2,ASMITH,K0W001,8/21/2012,APV,REQ
395,K0W004,0,3/4/2013,2392,3/8/2013,2,ASMITH,K0W001,8/21/2012,PSH,REQ
82,K0W207,0,11/29/2006,2343,11/30/2006,3,HAM_K0W206,K0W206,9/19/2006,DNY,REQ
83,K0W207,0,2/13/2007,2342,2/13/2007,3,HAM_K0W206,K0W206,9/19/2006,PSH,REQ
392,K0W004,0,4/2/2012,2344,4/4/2012,2,ASMITH,K0W001,8/21/2012,APV,REQ
400,K0W005,0,11/15/2012,2392,11/19/2012,2,ASMITH,K0W001,8/21/2012,DNY,REQ
399,K0W005,0,8/21/2012,2343,8/23/2012,2,ASMITH,K0W001,8/21/2012,APV,REQ
402,K0W006,0,5/5/2012,2343,5/8/2012,2,ASMITH,K0W001,8/21/2012,APV,REQ
429,K0W203,0,8/27/2012,2343,8/28/2012,2,HAM_K0W201,K0W201,8/21/2012,APV,REQ
432,K0W008,0,4/4/2013,2392,4/11/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
433,K0W101,0,3/5/2013,2392,3/12/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
434,K0W102,0,8/21/2012,2392,8/24/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
435,K0W102,0,10/22/2012,2392,10/25/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
436,K0W102,0,9/18/2012,2343,9/18/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
437,K0W102,0,4/4/2013,2343,4/4/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
438,K0W103,0,8/21/2012,2392,8/24/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
439,K0W103,0,9/17/2012,2343,9/17/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
440,K0W103,0,9/19/2012,2342,9/19/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
441,K0W104,0,8/21/2012,2392,8/23/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
442,K0W104,0,9/10/2012,2343,9/10/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
443,K0W104,0,3/3/2013,2392,3/3/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
444,K0W105,0,8/21/2012,2342,8/22/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
445,K0W105,0,8/27/2012,2392,8/30/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
446,K0W105,0,3/3/2013,2343,3/8/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
447,K0W106,0,8/20/2012,2392,8/24/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
448,K0W106,0,9/17/2012,2343,9/17/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
449,K0W106,0,8/28/2012,2344,8/28/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
450,K0W106,0,3/4/2013,2392,3/8/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
451,K0W107,0,8/13/2012,2392,8/17/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
452,K0W107,0,11/12/2012,2392,11/16/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
453,K0W107,0,3/4/2013,2392,3/15/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
454,K0W201,0,8/2/2013,2343,8/2/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
455,K0W202,0,8/27/2012,2343,8/27/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
456,K0W202,0,3/4/2013,2392,3/8/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
457,K0W203,0,3/4/2013,2392,3/6/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
458,K0W204,0,9/3/2012,2392,9/6/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
459,K0W204,0,3/4/2013,2343,3/4/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
460,K0W205,0,9/10/2012,2392,9/14/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
461,K0W205,0,11/5/2012,2343,11/5/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
462,K0W205,0,4/3/2013,2343,4/5/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
463,K0W206,0,8/21/2012,2392,8/24/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
464,K0W206,0,10/8/2012,2343,10/8/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
465,K0W206,0,4/3/2013,2343,4/3/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
466,K0W207,0,8/20/2012,2392,8/31/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
467,K0W207,0,10/10/2012,2343,10/10/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
468,K0W207,0,4/3/2013,2343,4/3/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
469,K0W208,0,8/13/2012,2392,8/17/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
470,K0W208,0,8/21/2012,2343,8/24/2012,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
471,K0W208,0,4/3/2013,2392,4/12/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
344,KUTLWC06,0,10/1/2012,2343,10/5/2012,1,SAMPLE,KU0007,7/24/2012,SUB,REQ
346,K0W001,0,5/21/2012,2392,5/25/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
